src,trg,spm-sacre
af,ceb,0.5
am,ceb,0.3
ar,ceb,0.3
ast,ceb,0.6
az,ceb,0.3
be,ceb,0.2
bg,ceb,0.3
bn,ceb,0.1
bs,ceb,0.4
ca,ceb,0.6
cs,ceb,0.5
cy,ceb,0.4
da,ceb,0.6
de,ceb,1.3
el,ceb,0.4
en,ceb,1.2
es,ceb,0.7
et,ceb,0.8
fa,ceb,0.4
ff,ceb,0.3
fi,ceb,0.5
fr,ceb,0.5
ga,ceb,0.4
gl,ceb,0.7
gu,ceb,0.4
ha,ceb,0.7
he,ceb,0.3
hi,ceb,0.4
hr,ceb,0.5
hu,ceb,0.5
hy,ceb,0.5
id,ceb,1.4
ig,ceb,0.5
is,ceb,0.4
it,ceb,0.4
ja,ceb,0.4
jv,ceb,5.2
ka,ceb,0.1
kk,ceb,0.1
km,ceb,0.2
kn,ceb,0.4
ko,ceb,0.4
lb,ceb,0.4
lg,ceb,0.3
ln,ceb,0.6
lo,ceb,0.2
lt,ceb,0.5
lv,ceb,0.5
mk,ceb,0.5
ml,ceb,0.4
mn,ceb,0.1
mr,ceb,0.5
ms,ceb,1.2
my,ceb,0.5
ne,ceb,0.6
nl,ceb,0.5
no,ceb,0.6
ns,ceb,0.7
oc,ceb,0.5
or,ceb,0.1
pa,ceb,0.2
pl,ceb,0.4
ps,ceb,0.5
pt,ceb,0.6
ro,ceb,0.6
ru,ceb,0.4
sd,ceb,0.2
sk,ceb,0.6
sl,ceb,0.6
so,ceb,0.5
sr,ceb,0.3
sv,ceb,0.6
sw,ceb,0.6
ta,ceb,0.1
th,ceb,0.2
tl,ceb,1.1
tr,ceb,0.4
uk,ceb,0.4
ur,ceb,0.2
uz,ceb,0.2
vi,ceb,0.7
wo,ceb,0.5
xh,ceb,0.5
yo,ceb,0.4
zh,ceb,0.4
zu,ceb,0.4
